name	url	location
[]	[]	[]
[u'<span class="event-title">"Fried Chicken &amp; Blues"</span>', u'<span class="artist"></span>']	[u'http://archives.sfweekly.com/sanfrancisco/fried-chicken-and-blues/Event?oid=2960657']	[u'<span class="street-address">2049 Fillmore</span>']
[u'<span class="event-title">Nora Maki</span>', u'<span class="artist"></span>']	[u'http://archives.sfweekly.com/sanfrancisco/nora-maki/Event?oid=3083778']	[u'<span class="street-address">501 Post</span>']
[u'<span class="event-title">"Opulence"</span>', u'<span class="artist"></span>']	[u'http://archives.sfweekly.com/sanfrancisco/opulence/Event?oid=3122278']	[u'<span class="street-address">2344 Market</span>']
[u'<span class="event-title">Doc\'s Comedy Open Mic</span>']	[u'http://archives.sfweekly.com/sanfrancisco/docs-comedy-open-mic/Event?oid=3124190']	[u'<span class="street-address">124 Columbus</span>']
[u'<span class="event-title">Hardly Strictly Warren Hellman</span>']	[u'http://archives.sfweekly.com/sanfrancisco/hardly-strictly-warren-hellman/Event?oid=3144541']	[u'<span class="street-address">736 Mission</span>']
[u'<span class="event-title">Monday Night Hubba</span>']	[u'http://archives.sfweekly.com/sanfrancisco/monday-night-hubba/Event?oid=3259379']	[u'<span class="street-address">375 11th St.</span>']
[u'<span class="event-title">Melt the Mic</span>']	[u'http://archives.sfweekly.com/sanfrancisco/melt-the-mic/Event?oid=3316355']	[u'<span class="street-address">700 Columbus</span>']
[u'<span class="event-title">Monday Night Marsh</span>']	[u'http://archives.sfweekly.com/sanfrancisco/monday-night-marsh/Event?oid=2571059']	[u'<span class="street-address">1062 Valencia</span>']
[u'<span class="event-title">Habitat Earth</span>']	[u'http://archives.sfweekly.com/sanfrancisco/habitat-earth/Event?oid=3345278']	[u'<span class="street-address">55 Music Concourse</span>']
[u'<span class="event-title">Lamp of the Covenant</span>']	[u'http://archives.sfweekly.com/sanfrancisco/lamp-of-the-covenant/Event?oid=3356579']	[u'<span class="street-address">736 Mission</span>']
[u'<span class="event-title">Krazy for Karaoke</span>', u'<span class="artist"></span>']	[u'http://archives.sfweekly.com/sanfrancisco/krazy-for-karaoke/Event?oid=2571194']	[u'<span class="street-address">3223 Mission</span>']
[u'<span class="event-title">"Sissy Bar"</span>', u'<span class="artist"></span>']	[u'http://archives.sfweekly.com/sanfrancisco/sissy-bar/Event?oid=3429405']	[u'<span class="street-address">424 Haight</span>']
[u'<span class="event-title">Bakers Dozen Comedy Show</span>']	[u'http://archives.sfweekly.com/sanfrancisco/bakers-dozen-comedy-show/Event?oid=3530753']	[u'<span class="street-address">1122 Folsom</span>']
[u'<span class="event-title">Terry Disley\'s Rocking Jazz Trio</span>', u'<span class="artist"></span>']	[u'http://archives.sfweekly.com/sanfrancisco/terry-disleys-rocking-jazz-trio/Event?oid=3525893']	[u'<span class="street-address">417 Stockton</span>']
[u'<span class="event-title">30 Years of Collecting Art That Tells Our Stories</span>']	[u'http://archives.sfweekly.com/sanfrancisco/30-years-of-collecting-art-that-tells-our-stories/Event?oid=3752233']	[u'<span class="street-address">4127 18th St.</span>']
[]	[]	[]
[]	[]	[]
